,NM_MESO,COD_IBGE,MUNICIPIO,Pop_Total_Muni,Total_Brancos,Branca%,Brancos_Esgotamento_Sanitario_regular,Brancos_Esgotamento_Sanitario_irregular,Brancos_Nao_possui_Esgotamento_Sanitario,Brancos_Esgotamento_Sanitario_regular%,Brancos_Esgotamento_Sanitario_irregular%,Brancos_Nao_possui_Esgotamento_Sanitario%,Total_Negros,Negra%,Negros_Esgotamento_Sanitario_regular,Negros_Esgotamento_Sanitario_irregular,Negros_Nao_possui_Esgotamento_Sanitario,Negros_Esgotamento_Sanitario_regular%,Negros_Esgotamento_Sanitario_irregular%,Negros_Nao_possui_Esgotamento_Sanitario%
0,Sul Fluminense,3300100,Angra dos Reis(RJ),167434,75099,"44,85289726",54540,20551,8,"72,62413614","27,4",0,91269,"54,51043396",62073,29169,27,"68,01104428",32,0
1,Noroeste Fluminense,3300159,Aperibé(RJ),11034,6510,"58,99945623",5494,1015,1,"84,39324117","15,6",0,4490,"40,69240529",3835,654,1,"85,41202673","14,6",0
2,Baixadas,3300209,Araruama(RJ),129671,50161,"38,68328308",17799,32362,0,"35,48374235","64,5",0,78688,"60,68280494",23877,54804,7,"30,34388979","69,6",0
3,Centro Fluminense,3300225,Areal(RJ),11828,5926,"50,10145418",2670,3256,0,"45,0556868","54,9",0,5879,"49,70409199",2235,3644,0,"38,0166695",62,0
4,Baixadas,3300233,Armação dos Búzios(RJ),40006,18011,"45,02074689",6923,11088,0,"38,43762145","61,6",0,21648,"54,11188322",5305,16339,4,"24,50572801","75,5",0
5,Baixadas,3300258,Arraial do Cabo(RJ),30986,14802,"47,76996063",10853,3948,1,"73,32117281","26,7",0,16062,"51,83631317",10749,5313,0,"66,92192753","33,1",0
6,Sul Fluminense,3300308,Barra do Piraí(RJ),92883,35609,"38,33747833",28641,6960,8,"80,43191328","19,5",0,56959,"61,32338533",43645,13286,28,"76,62529188","23,3",0
7,Sul Fluminense,3300407,Barra Mansa(RJ),169894,77106,"45,38476933",65452,11650,4,"84,88574171","15,1",0,92226,"54,28443618",72536,19688,2,"78,65027216","21,3",0
8,Metropolitana,3300456,Belford Roxo(RJ),483087,131255,"27,17005426",118285,12965,5,"90,11847168","9,9",0,350950,"72,64736994",306002,44909,39,"87,19247756","12,8",0
9,Centro Fluminense,3300506,Bom Jardim(RJ),28102,17729,"63,08803644",7853,9876,0,"44,29465847","55,7",0,10280,"36,58102626",4540,5737,3,"44,16342412","55,8",0
